rps,duration,service_name,cpu_lim,mem_lim,50%,90%,99%,cpu_util,mem_free,complete_rate
285,15,fibonacci-python,50m,100Mi,0,0,0,0.008964285714285682,0.955983373193644,0.0
285,15,fibonacci-python,50m,300Mi,0,0,0,0.008357142857142615,0.9556520748031032,0.0
285,15,fibonacci-python,50m,500Mi,1919168.0,1978918.0,1996725.0,0.008142857142857148,0.9552731046899994,0.0008028904054596548
285,15,fibonacci-python,50m,700Mi,615854.0,1611628.0,1614444.0,0.008758241758241934,0.9551047991452344,0.0
285,15,fibonacci-python,50m,900Mi,0,0,0,0.008892857142857074,0.9550327541772798,0.0
285,15,fibonacci-python,50m,1100Mi,0,0,0,0.008177197802197689,0.9548582322762882,0.0
285,15,fibonacci-python,50m,1300Mi,0,0,0,0.008397005128205244,0.954930751892489,0.0
285,15,fibonacci-python,50m,1500Mi,1499951.0,1589481.0,1594207.0,0.007546703296702999,0.9548798313794429,0.0008496176720475786
285,15,fibonacci-python,50m,1700Mi,1315695.0,2601722.0,2657192.0,0.008400513186813228,0.955017638745985,0.02172096908939014
285,15,fibonacci-python,50m,1900Mi,0,0,0,0.007517857142857004,0.9549051447934759,0.0
285,15,fibonacci-python,100m,100Mi,6080489.0,10572552.0,14255748.0,0.010267857142857141,0.9546802812010937,0.09090909090909091
285,15,fibonacci-python,100m,300Mi,5493881.0,12010184.0,13617745.0,0.009374999999999899,0.9545282984270116,0.024424994911459393
285,15,fibonacci-python,100m,500Mi,4546903.0,8613666.0,9560852.0,0.01055449304029308,0.9544748138571857,0.0802978466492252
285,15,fibonacci-python,100m,700Mi,5840035.0,12074696.0,14190450.0,0.009267857142857189,0.9546127365533992,0.032667876588021776
285,15,fibonacci-python,100m,900Mi,3858194.0,11384406.0,13217428.0,0.009969876556776664,0.9544790536714792,0.026225539640911844
285,15,fibonacci-python,100m,1100Mi,1998120.0,8345104.0,13104658.0,0.01016071428571433,0.954519452525297,0.03029690971520905
285,15,fibonacci-python,100m,1300Mi,3832697.0,10830162.0,14373547.0,0.00953571428571429,0.9544894827482198,0.08758537565287264
285,15,fibonacci-python,100m,1500Mi,4738012.0,12279414.0,14076079.0,0.010357142857142825,0.9544422443812441,0.06809024979854955
285,15,fibonacci-python,100m,1700Mi,5551606.0,12288333.0,14011104.0,0.009365387912087818,0.9545281648416384,0.0862207896857373
285,15,fibonacci-python,100m,1900Mi,2210321.0,9026616.0,13244362.0,0.009160714285714074,0.9543215749169578,0.04886197536020046
285,15,fibonacci-python,150m,100Mi,3706250.0,7051710.0,9123302.0,0.010001373626373716,0.9544166955266129,0.09449143800288838
285,15,fibonacci-python,150m,300Mi,4412034.0,12291263.0,13977270.0,0.01032693736263712,0.9541629490958418,0.25690106790247835
285,15,fibonacci-python,150m,500Mi,4570605.0,9485370.0,13750277.0,0.01153571428571415,0.9544245208476667,0.11173974540311174
285,15,fibonacci-python,150m,700Mi,4743199.0,10845115.0,13417311.0,0.009749999999999912,0.9543560071989129,0.15965371451580432
285,15,fibonacci-python,150m,900Mi,5865552.0,10417848.0,12801495.0,0.012157967032967157,0.9539370999853369,0.1847715736040609
285,15,fibonacci-python,150m,1100Mi,2134412.0,7618440.0,10603755.0,0.009338633333333419,0.954407528411479,0.05474040632054176
285,15,fibonacci-python,150m,1300Mi,7202700.0,11789416.0,13643685.0,0.011870879120879016,0.9539584432188938,0.2540160642570281
285,15,fibonacci-python,150m,1500Mi,5525421.0,10542894.0,13108726.0,0.010912927472527284,0.9540207939745474,0.2696742868703217
285,15,fibonacci-python,150m,1700Mi,3056372.0,7665733.0,8824679.0,0.010660714285714232,0.9543023577482249,0.1497380088673922
285,15,fibonacci-python,150m,1900Mi,6014418.0,9751449.0,12160087.0,0.010168956043956012,0.9540566684569425,0.1312462372065021
285,15,fibonacci-python,200m,100Mi,4266077.0,9196065.0,10455166.0,0.012089285714285783,0.9539819945230461,0.20998980632008155
285,15,fibonacci-python,200m,300Mi,8433009.0,12439393.0,13706177.0,0.010986263736263565,0.9538001577362178,0.013371150729335495
285,15,fibonacci-python,200m,500Mi,5540508.0,9534513.0,12621130.0,0.010589285714285626,0.9541629998061245,0.251063829787234
285,15,fibonacci-python,200m,700Mi,5713345.0,10804505.0,13090241.0,0.012428571428571542,0.9538955050932799,0.5111607142857143
285,15,fibonacci-python,200m,900Mi,3419379.0,8937576.0,11267291.0,0.012946428571428518,0.954048883414342,0.3025919228450874
285,15,fibonacci-python,200m,1100Mi,6956649.0,12107160.0,14260252.0,0.011130494505494606,0.9536700961480289,0.1372390026353132
285,15,fibonacci-python,200m,1300Mi,6516916.0,12277646.0,14015099.0,0.01260835164835156,0.9534933916764698,0.3477126805778491
285,15,fibonacci-python,200m,1500Mi,7430686.0,11671509.0,13254203.0,0.011729395604395757,0.9536380908602041,0.3216683621566633
285,15,fibonacci-python,200m,1700Mi,3980699.0,9206831.0,12529717.0,0.011970760439560297,0.9538419628586182,0.6156935434043868
285,15,fibonacci-python,200m,1900Mi,5523159.0,11855226.0,13576764.0,0.012499999999999897,0.9538531822913363,0.3537497473216091
285,15,fibonacci-python,250m,100Mi,3482468.0,6720632.0,10425019.0,0.012357142857142784,0.9542522965571409,0.1483560545308741
285,15,fibonacci-python,250m,300Mi,4738525.0,11979731.0,14845819.0,0.011535714285714148,0.9539322903323524,0.10597225015081439
285,15,fibonacci-python,250m,500Mi,3014907.0,8653294.0,11134081.0,0.013457417582417608,0.9539261343938052,0.47912484945804895
285,15,fibonacci-python,250m,700Mi,6061791.0,11009366.0,12875787.0,0.01283928571428571,0.9538620119657606,0.31550372008847777
285,15,fibonacci-python,250m,900Mi,4847397.0,9157572.0,12202893.0,0.011479923076922926,0.9535296501081483,0.16324062877871826
285,15,fibonacci-python,250m,1100Mi,3495062.0,9636425.0,12241830.0,0.013410714285714269,0.9535504114774327,0.6627577840679337
285,15,fibonacci-python,250m,1300Mi,6579283.0,11320914.0,12717582.0,0.014017857142857186,0.9535428536168988,0.5097284150790433
285,15,fibonacci-python,250m,1500Mi,2774397.0,8555140.0,12622622.0,0.015482142857142934,0.9534933644378037,0.6728971962616822
285,15,fibonacci-python,250m,1700Mi,4088860.0,10119504.0,11655355.0,0.012677197802197936,0.9537747032027125,0.5722368155182865
285,15,fibonacci-python,250m,1900Mi,4466213.0,9169125.0,10956181.0,0.011883142857142832,0.9537173649411742,0.18245967741935484
285,15,fibonacci-python,300m,100Mi,2746108.0,5660916.0,7788803.0,0.011804849471553209,0.9542096235249593,0.2306912629231705
285,15,fibonacci-python,300m,300Mi,1629794.0,9102975.0,11442892.0,0.01589454871794862,0.9539886130842579,0.7189568706118356
285,15,fibonacci-python,300m,500Mi,3262063.0,8738980.0,12070324.0,0.013910714285714425,0.9537097979527893,0.719039935457846
285,15,fibonacci-python,300m,700Mi,1703216.0,7589427.0,10343552.0,0.013946428571428523,0.9537623175783787,0.8058859100987704
285,15,fibonacci-python,300m,900Mi,3388332.0,9097352.0,11987518.0,0.016107142857142875,0.953643485130305,0.837696335078534
285,15,fibonacci-python,300m,1100Mi,1111057.0,4618493.0,9141054.0,0.01620467032967025,0.9535670244558192,0.7817380857028434
285,15,fibonacci-python,300m,1300Mi,747996.0,3330382.0,7297809.0,0.014071428571428563,0.9537278143020279,0.8411458333333334
285,15,fibonacci-python,300m,1500Mi,4063559.0,9418104.0,13611408.0,0.013064560439560289,0.9538088068820356,0.5416331456154465
285,15,fibonacci-python,300m,1700Mi,6093380.0,11289967.0,14542410.0,0.012946428571428773,0.9534459564087108,0.5878215434083601
285,15,fibonacci-python,300m,1900Mi,2448525.0,7479075.0,9667915.0,0.010479062947067026,0.9542162603089441,0.2341613173318448
285,15,fibonacci-python,350m,100Mi,3241375.0,8159294.0,11927942.0,0.011892857142857136,0.9542603574636794,0.22652937613567534
285,15,fibonacci-python,350m,300Mi,2583436.0,8926679.0,11319244.0,0.013887362637362465,0.9535459912794193,0.9389482168043523
285,15,fibonacci-python,350m,500Mi,188327.0,3808017.0,6232101.0,0.014738462121212072,0.9539389313509751,0.918342719227675
285,15,fibonacci-python,350m,700Mi,60996.0,962310.0,5383084.0,0.013187475438419884,0.9542969378332097,0.9266786724980705
285,15,fibonacci-python,350m,900Mi,162482.0,1669674.0,3308208.0,0.015928571428571358,0.9543120313866398,0.8642424242424243
285,15,fibonacci-python,350m,1100Mi,2274219.0,7762305.0,11176138.0,0.015303571428571364,0.9536646678295954,0.8695303091128062
285,15,fibonacci-python,350m,1300Mi,200283.0,2321706.0,5200660.0,0.01723214285714307,0.9541529145451005,0.9103211472429812
285,15,fibonacci-python,350m,1500Mi,172268.0,2358268.0,4607989.0,0.01832142857142865,0.9539460429610214,0.9545178896300789
285,15,fibonacci-python,350m,1700Mi,704206.0,4762840.0,7706638.0,0.014392857142857044,0.9539178622427178,0.9270473480999797
285,15,fibonacci-python,350m,1900Mi,288697.0,2697432.0,5558004.0,0.014436813186813145,0.9542973195005302,0.880561122244489
285,15,fibonacci-python,400m,100Mi,48131.0,550081.0,3001587.0,0.019535714285714236,0.9542691871381035,0.9553374724614461
285,15,fibonacci-python,400m,300Mi,36000.0,520671.0,2681962.0,0.01989010989011001,0.9543627303681935,0.936144578313253
285,15,fibonacci-python,400m,500Mi,73321.0,2098720.0,4763001.0,0.015475194871795075,0.9542647218803819,0.9581665332265813
285,15,fibonacci-python,400m,700Mi,1457075.0,7198157.0,9192430.0,0.015071428571428515,0.9535317663206886,0.8981238652410732
285,15,fibonacci-python,400m,900Mi,85493.0,2516032.0,5307342.0,0.019035714285714125,0.9541479631930976,0.8729745949189838
285,15,fibonacci-python,400m,1100Mi,45748.0,1179162.0,3332447.0,0.020660714285714223,0.95421678516037,0.9662694405170673
285,15,fibonacci-python,400m,1300Mi,47952.0,379113.0,3075387.0,0.0185535714285713,0.9544022561358297,0.9590443686006825
285,15,fibonacci-python,400m,1500Mi,42245.0,532099.0,2712597.0,0.01784947802197807,0.9543870011788141,0.9660948536831483
285,15,fibonacci-python,400m,1700Mi,49925.0,1082319.0,3540014.0,0.02057142857142844,0.9543756604760771,0.9575708827669415
285,15,fibonacci-python,400m,1900Mi,62653.0,1524728.0,3841317.0,0.019393711255411242,0.954283387031466,0.9671934386877376
285,15,fibonacci-python,450m,100Mi,42665.0,1140907.0,3158347.0,0.01853240740740744,0.9544094923482849,0.9581497797356828
285,15,fibonacci-python,450m,300Mi,2267.0,262743.0,2845722.0,0.018589285714285704,0.9545238318653112,0.942
285,15,fibonacci-python,450m,500Mi,8106.0,442670.0,2999960.0,0.018732142857143027,0.9544748071924057,0.9814777531709281
285,15,fibonacci-python,450m,700Mi,70408.0,2805183.0,4873992.0,0.01498214285714293,0.954453780680786,0.8750861079219289
285,15,fibonacci-python,450m,900Mi,35368.0,1675907.0,4298547.0,0.01805357142857125,0.9545458259291248,0.9033494753833737
285,15,fibonacci-python,450m,1100Mi,15014.0,1004036.0,3356307.0,0.016517857142856786,0.9543392101784219,0.9624
285,15,fibonacci-python,450m,1300Mi,34913.0,1609349.0,4164409.0,0.017910714285714235,0.9544590078967269,0.9089635854341737
285,15,fibonacci-python,450m,1500Mi,1665.0,253250.0,1441316.0,0.01841071428571434,0.9544531133334656,0.9727437916414294
285,15,fibonacci-python,450m,1700Mi,12132.0,1002952.0,3030280.0,0.0175961538461541,0.9545269198317547,0.9590361445783132
285,15,fibonacci-python,450m,1900Mi,8898.0,1199375.0,3430040.0,0.016867800549450262,0.9544531446289544,0.9746
285,15,fibonacci-python,500m,100Mi,1634.0,1001870.0,2868250.0,0.017035714285714272,0.9545474608286393,0.9551551551551551
285,15,fibonacci-python,500m,300Mi,1602.0,1007062.0,3039406.0,0.017701923076922893,0.9544434934479504,0.987
285,15,fibonacci-python,500m,500Mi,1388742.0,6551186.0,8551595.0,0.014181318681318804,0.9534731979725786,0.9380173632142136
285,15,fibonacci-python,500m,700Mi,1871.0,1268468.0,4494492.0,0.017232142857142814,0.9542804245367504,0.9751364463311097
285,15,fibonacci-python,500m,900Mi,1619.0,1044679.0,3073896.0,0.017785714285714044,0.954329357931147,0.957983193277311
285,15,fibonacci-python,500m,1100Mi,1564.0,278562.0,2747710.0,0.016428571428571306,0.9544081251990633,0.9707473452213985
285,15,fibonacci-python,500m,1300Mi,1597.0,303148.0,2838559.0,0.017482142857142943,0.9545163002292377,0.9719270102265891
285,15,fibonacci-python,500m,1500Mi,1562.0,258458.0,2775786.0,0.016579437179487424,0.9544971465208014,0.9615692554043235
285,15,fibonacci-python,500m,1700Mi,1588.0,321089.0,2851197.0,0.016553571428571397,0.9545452721728378,0.9874
285,15,fibonacci-python,500m,1900Mi,1620.0,1034860.0,2983116.0,0.016957417582417634,0.954472821087962,0.9431545236188951
285,15,fibonacci-python,550m,100Mi,1602.0,1133423.0,3062920.0,0.016410714285714383,0.9544926815528527,0.9869477911646586
285,15,fibonacci-python,550m,300Mi,1559.0,126709.0,1194610.0,0.017803571428571273,0.9544657401938585,0.9711884753901561
285,15,fibonacci-python,550m,500Mi,1528.0,2053.0,4757005.0,0.013535714285714562,0.9545867045022172,0.9488279016580904
285,15,fibonacci-python,550m,700Mi,1575.0,1002046.0,2865435.0,0.017767857142857123,0.9545159940840167,0.9884
285,15,fibonacci-python,550m,900Mi,1571.0,322339.0,2737151.0,0.01766071428571441,0.9545522284645325,0.9726
285,15,fibonacci-python,550m,1100Mi,1557.0,142281.0,2749658.0,0.017566735347985397,0.954551675722451,0.96
285,15,fibonacci-python,550m,1300Mi,1619.0,1416907.0,3229939.0,0.01748214285714259,0.9544904462435911,0.97598385469223
285,15,fibonacci-python,550m,1500Mi,1605.0,1220234.0,3130583.0,0.017527472527472547,0.9544155796106204,0.9545545948119847
285,15,fibonacci-python,550m,1700Mi,1599.0,1019100.0,2892254.0,0.016946428571428432,0.954529900871945,0.9879566439181052
285,15,fibonacci-python,550m,1900Mi,1568.0,1001920.0,2856126.0,0.016875000000000334,0.9544797098625374,0.9706
285,15,fibonacci-python,600m,100Mi,1558.0,92287.0,2808476.0,0.016964285714285456,0.9545659721102371,0.963334001202164
285,15,fibonacci-python,600m,300Mi,1582.0,201596.0,2802431.0,0.017785714285714144,0.9543943216065602,0.9772
285,15,fibonacci-python,600m,500Mi,1567.0,148856.0,2725867.0,0.016442307692307673,0.9545659915250309,0.9543177719895812
285,15,fibonacci-python,600m,700Mi,1544.0,85042.0,1183679.0,0.017327010989011134,0.9544552343272612,0.9894
285,15,fibonacci-python,600m,900Mi,1588.0,1042169.0,2954982.0,0.016357142857142803,0.9545018094037392,0.9725780624499599
285,15,fibonacci-python,600m,1100Mi,1569.0,1001850.0,2819803.0,0.017657967032967337,0.9544381113483174,0.9599679743795037
285,15,fibonacci-python,600m,1300Mi,1580.0,1002318.0,2858951.0,0.0172857142857143,0.9545338461319393,0.986
285,15,fibonacci-python,600m,1500Mi,1577.0,1002414.0,2768719.0,0.01692857142857166,0.9544614744448776,0.9457457457457458
285,15,fibonacci-python,600m,1700Mi,1544.0,120719.0,1212558.0,0.016821428571428244,0.9545297325138065,0.987997599519904
285,15,fibonacci-python,600m,1900Mi,1572.0,1001706.0,2803384.0,0.017017857142857144,0.9544549348468203,0.9726
285,15,fibonacci-python,650m,100Mi,1552.0,73801.0,2521238.0,0.016784340659340764,0.9545438005604339,0.960976585951571
285,15,fibonacci-python,650m,300Mi,1561.0,1002732.0,2919628.0,0.01657571208791248,0.9544563595159912,0.9891326222579996
285,15,fibonacci-python,650m,500Mi,1539.0,44216.0,2306251.0,0.017357142857142904,0.9545094443439028,0.9718762555243069
285,15,fibonacci-python,650m,700Mi,1508.0,2216.0,2685722.0,0.016429945054944852,0.954491794847338,0.9613458842379331
285,15,fibonacci-python,650m,900Mi,1548.0,62810.0,1087057.0,0.01644523516483487,0.9545305344607058,0.9844
285,15,fibonacci-python,650m,1100Mi,1526.0,23512.0,1052249.0,0.016785714285714244,0.954452285741652,0.9503404084901882
285,15,fibonacci-python,650m,1300Mi,1573.0,1002825.0,2958881.0,0.01641071428571428,0.9544748639879224,0.9855159927579964
285,15,fibonacci-python,650m,1500Mi,1578.0,1127380.0,3010067.0,0.017642857142856724,0.9544544419428724,0.9707941588317663
285,15,fibonacci-python,650m,1700Mi,1557.0,89129.0,2538860.0,0.01610714285714262,0.9545335966373485,0.961
285,15,fibonacci-python,650m,1900Mi,1574.0,1002028.0,2787938.0,0.01655703296703293,0.9544639696805596,0.9888799029518803
285,15,fibonacci-python,700m,100Mi,1525.0,62503.0,2627190.0,0.0156250000000002,0.9545461565601682,0.9642
285,15,fibonacci-python,700m,300Mi,1540.0,1002838.0,2826727.0,0.018699175824176198,0.9545068418921945,0.9584
285,15,fibonacci-python,700m,500Mi,1588.0,1090015.0,2919085.0,0.015988862271062113,0.9544998496686425,0.9735629881834569
285,15,fibonacci-python,700m,700Mi,1561.0,1001992.0,2813579.0,0.014964285714285805,0.9544320563956762,0.957983193277311
285,15,fibonacci-python,700m,900Mi,1549.0,1002204.0,2855177.0,0.016124999999999595,0.9544846409304274,0.9879927956774065
285,15,fibonacci-python,700m,1100Mi,1558.0,1002172.0,2861695.0,0.017374999999999932,0.9544225431466412,0.9719044752157335
285,15,fibonacci-python,700m,1300Mi,1518.0,2000.0,1002740.0,0.01664285714285718,0.9544926308425701,0.9611456038453835
285,15,fibonacci-python,700m,1500Mi,1501.0,16400.0,2707294.0,0.016965659340659113,0.9544433934762502,0.9896
285,15,fibonacci-python,700m,1700Mi,1520.0,2366.0,1007693.0,0.015428571428571704,0.9545135234790435,0.9646843921250253
285,15,fibonacci-python,700m,1900Mi,1508.0,2119.0,1002863.0,0.01734065934065933,0.9544601719150447,0.9675740592473979
285,15,fibonacci-python,750m,100Mi,1548.0,1001902.0,2776408.0,0.0166859027472527,0.9545155807227694,0.9772
285,15,fibonacci-python,750m,300Mi,1620.0,1170487.0,2264762.0,0.018553571428571454,0.954437591930136,0.9282258064516129
285,15,fibonacci-python,750m,500Mi,1524.0,1001755.0,2761551.0,0.016339285714285924,0.9545187182404035,0.9886
285,15,fibonacci-python,750m,700Mi,1512.0,1001534.0,2717250.0,0.01666071428571436,0.9544550362673857,0.9713942788557711
285,15,fibonacci-python,750m,900Mi,1565.0,1010252.0,2868284.0,0.016892857142856647,0.9545122658640324,0.9613759806879904
285,15,fibonacci-python,750m,1100Mi,1526.0,2466.0,2377742.0,0.018103021978022354,0.9544537117148015,0.9898
285,15,fibonacci-python,750m,1300Mi,1535.0,1001943.0,2799236.0,0.016669161538461458,0.9545006839252362,0.943
285,15,fibonacci-python,750m,1500Mi,1589.0,1105791.0,2211440.0,0.018714285714285798,0.9543899770030897,0.9565130260521042
285,15,fibonacci-python,750m,1700Mi,1538.0,113447.0,2695037.0,0.015734197802197966,0.9544809958753067,0.9755506162861184
